head,tail,relation
高祖,沛丰邑中阳里,出生地
高祖,季,同名于
高祖,太公,父子
高祖,刘媪,母子
太公,刘媪,夫妻
太公,高祖,父子
高祖,泗水亭长,为官
高祖,咸阳,去往
吕公,单父,出生地
吕公,沛,去往
高祖,亭长,为官
吕公,吕媪,父女
吕后,孝惠帝,母子
吕后,鲁元公主,母女
吕公,吕后,父女
高祖,亭长,为官
高祖,吕后,夫妻
高祖,亭长,为官
高祖,亭长,为官
高祖,郦山,去往
高祖,丰西,去往
高祖,芒,去往
高祖,砀,去往
高祖,吕后,夫妻
高祖,季,同名于
陈胜,秦二世,军事对抗
陈胜,陈,去往
萧何,沛令,下属
曹参,沛令,下属
萧,文吏,为官
曹,文吏,为官
刘季,沛公,为官
刘季,季,同名于
曹,萧,军事合作
樊哙,萧,军事合作
樊哙,曹,军事合作
萧,胡陵,军事对抗
曹,胡陵,军事对抗
樊哙,胡陵,军事对抗
萧,方与,军事对抗
曹,方与,军事对抗
樊哙,方与,军事对抗
萧,丰,军事防守
曹,丰,军事防守
樊哙,丰,军事防守
周章,将领,为官
周章,陈涉,君臣
周章,戏,去往
平,泗川监,为官
平,丰,军事对抗
雍齿,丰,军事防守
沛公,薛,去往
雍齿,沛公,下属
壮,泗州守,为官
壮,戚,去往
左司马,沛公,下属
左司马,壮,杀害
沛公,亢父,去往
沛公,方与,去往
周市,陈王,君臣
雍齿,齿,同名于
齿,丰,军事防守
沛公,丰,军事对抗
沛公,沛,去往
东阳宁君,景驹,君臣
秦嘉,景驹,君臣
景驹,留,去往
沛公,景驹,军事合作
章邯,秦将,为官
司马枿,别将,为官
司马枿,楚地,军事对抗
司马枿,相,杀害
司马枿,砀,去往
沛公,东阳宁君,军事合作
东阳宁君,萧西,军事对抗
沛公,萧西,军事对抗
东阳宁君,留,去往
沛公,留,去往
东阳宁君,砀,军事对抗
沛公,砀,军事对抗
东阳宁君,下邑,军事对抗
沛公,下邑,军事对抗
东阳宁君,丰,去往
沛公,丰,去往
项梁,薛,去往
沛公,丰,军事对抗
项羽,项梁,下属
项羽,襄城,军事对抗
项梁,心,君臣
楚怀王,心,孙
心,楚王,同名于
项梁,武信君,同名于
项梁,亢父,军事对抗
项梁,东阿,去往
项梁,秦军,军事对抗
沛公,城阳,军事对抗
项羽,城阳,军事对抗
秦军,濮阳,军事防守
楚军,定陶,军事对抗
楚军,外黄,军事对抗
项梁,秦军,军事对抗
章邯,项梁,军事对抗
章邯,项梁,杀害
项梁,定陶,死亡地
沛公,陈留,军事对抗
项羽,陈留,军事对抗
吕臣,彭城东,去往
项羽,彭城西,去往
沛公,砀,去往
章邯,项梁军,军事对抗
章邯,赵,军事对抗
楚怀王,彭城,去往
楚怀王,吕臣,君臣
楚怀王,项羽,君臣
沛公,砀郡长,为官
沛公,武安侯,为官
项羽,长安侯,为官
项羽,鲁公,同名于
吕臣,司徒,为官
吕青,令尹,为官
吕青,吕臣,父子
怀王,宋义,君臣
宋义,上将军,为官
怀王,项羽,君臣
项羽,次将,为官
怀王,范增,君臣
范增,末将,为官
怀王,沛公,君臣
项羽,沛公,同僚
项羽,襄城,军事对抗
项羽,沛公,同僚
沛公,砀,去往
沛公,成阳,去往
楚军,王离,军事对抗
沛公,彭越,军事合作
沛公,昌邑,去往
彭越,昌邑,去往
沛公,栗,去往
沛公,刚武侯,军事对抗
沛公,皇欣,军事合作
沛公,武蒲,军事合作
武蒲,申徒,为官
沛公,昌邑,军事对抗
沛公,高阳,去往
郦食其,监门,为官
郦食其,广野君,为官
郦商,将,为官
郦商,开封,军事对抗
沛公,杨熊,军事对抗
沛公,白马,军事对抗
沛公,曲遇东,军事对抗
二世,杨熊,杀害
沛公,颍阳,军事对抗
沛公,韩地轘辕,军事对抗
司马卬,赵别将,为官
沛公,平阴,军事对抗
沛公,雒阳东,军事对抗
沛公,阳城,去往
沛公,齮,军事合作
齮,南阳守齮,为官
沛公,犨东,军事对抗
沛公,南阳郡,军事对抗
齮,宛,军事防守
沛公,张良,君臣
沛公,宛城,军事对抗
陈恢,南阳守,下属
宛守,殷侯,为官
沛公,丹水,去往
高武侯,鳃,为官
襄侯,王陵,为官
沛公,胡阳,军事对抗
沛公,析,军事对抗
沛公,郦,军事对抗
项羽,赵,去往
项羽,宋义,军事合作
项羽,宋义,杀害
项羽,上将军,为官
黥布,项羽,下属
项羽,王离,军事对抗
赵高,二世,杀害
沛公,张良,君臣
沛公,郦生,君臣
沛公,陆贾,君臣
沛公,武关,军事行动
沛公,武关,军事对抗
沛公,秦军,军事对抗
沛公,蓝田南,去往
沛公,霸上,去往
沛公,咸阳,去往
项羽,雍王,同名于
黥布,项羽,下属
项羽,函谷关,军事对抗
项羽,戏,去往
曹无伤,左司马,为官
沛公,曹无伤,君臣
亚父,项羽,下属
项伯,张良,朋友
项伯,项羽,下属
沛公,鸿门,去往
曹无伤,左司马,为官
沛公,曹无伤,君臣
沛公,樊哙,君臣
沛公,张良,君臣
沛公,曹无伤,杀害
怀王,项羽,君臣
怀王,项羽,君臣
怀王,项羽,名义上尊重
怀王,义帝,同名于
项羽,西楚霸王,同名于
沛公,汉王,同名于
章邯,雍王,同名于
瑕丘申阳,河南王,同名于
司马卬,殷王,同名于
歇,赵王,同名于
张耳,常山王,同名于
黥布,九江王,同名于
黥布,当阳君,同名于
共敖,临江王,同名于
共敖,怀王柱国,为官
吴芮,衡山王,同名于
臧荼,燕王,同名于
韩广,燕王,同名于
臧荼,广,杀害
韩广,广,同名于
陈余,成安君,同名于
汉王,南郑,去往
义帝,项羽,君臣
衡山王,项羽,下属
临江王,项羽,下属
衡山王,义帝,杀害
临江王,义帝,杀害
田都,项羽,下属
田都,齐王,同名于
田荣,齐王,同名于
田荣,田都,杀害
彭越,田荣,下属
彭越,梁地,军事对抗
萧公角,彭越,军事对抗
陈余,张耳,军事对抗
歇,代,去往
歇,赵王,同名于
陈余,代王,同名于
项羽,齐,军事对抗
汉王,章邯,军事对抗
章邯,雍王,同名于
邯,汉,军事对抗
邯,陈仓,去往
邯,好畤,去往
邯,废丘,去往
汉王,雍地,去往
汉王,咸阳,去往
