id,year,description,location_ancient,location_modern,latitude,longitude,cluster,assigned_method
HGZ-256,-256,刘邦出生（字季，丰邑中阳里人）,沛丰邑,江苏省徐州市沛县,34.7216,116.9375,5,isolated_cluster
HGZ-210,-210,任泗水亭长，放走刑徒，潜逃芒砀山,泗水,山东省济宁市泗水县,34.91715,117.06565,0,original
HGZ-209,-209,陈胜吴广起义后，沛县反秦，推刘邦为沛公,沛,江苏省徐州市沛县,34.7216,116.9375,0,original
HGZ-209b,-209,攻克丰邑、薛城，收纳人众,丰,江苏省徐州市丰县,34.903400000000005,116.88015,0,original
HGZ-208,-208,攻下砀郡、下邑，势力扩大,砀郡,河南省商丘市永城市,34.4488,116.33,0,original
HGZ-207a,-207,巨鹿之战，项羽击破秦军，刘邦进军关中,巨鹿,河北省巨鹿县,37.22,115.0383,2,nearest_neighbor
HGZ-207b,-207,刘邦先入咸阳，秦王子婴投降,咸阳,陕西省咸阳市,34.3293,108.7089,1,original
HGZ-207c,-207,鸿门宴与项羽会盟，刘邦退居汉中,鸿门,陕西省西安市临潼区,34.423,109.214,1,original
HGZ-206a,-206,封为汉王，入汉中,南郑,陕西省汉中市南郑区,33.0,106.936,1,nearest_neighbor
HGZ-206b,-206,出武关，击楚军，占洛阳、成皋,武关,陕西省商洛市丹凤县,34.24105,111.8655,2,original
HGZ-205a,-205,彭城之战，大败于项羽,彭城,江苏省徐州市,34.261,117.185,0,original
HGZ-205b,-205,楚汉对峙，刘邦退守荥阳，张良、陈平献策,荥阳,河南省郑州市荥阳市,34.7881,113.391,2,original
HGZ-204a,-204,韩信袭赵，刘邦与项羽相持,邯郸,河北省邯郸市,35.70685,113.965,2,original
HGZ-204b,-204,刘邦为项羽所败，逃至成皋，太公、吕后被俘,成皋,河南省郑州市荥阳市汜水镇,34.7881,113.391,2,original
HGZ-203b,-203,刘邦背约，再战项羽，韩信、彭越夹击楚,河南,河南省,34.757,113.6488,2,original
HGZ-202a,-202,垓下之战，项羽自刎乌江,垓下,安徽省宿州市灵璧县,32.675,117.925,3,original
HGZ-202b,-202,刘邦称帝，建汉，定都长安,长安,陕西省西安市,34.3416,108.9398,1,original
HGZ-201,-201,削异姓王，封同姓王,长安,陕西省西安市,34.3416,108.9398,1,original
HGZ-200a,-200,匈奴冒顿围刘邦于平城（白登之围）,平城,山西省大同市,40.0768,113.3,4,original
HGZ-200b,-200,陈平分化楚王韩信、英布,长安,陕西省西安市,32.6586,110.60525000000001,3,time_similarity
HGZ-198,-198,英布起兵反汉，被平定,淮南,安徽省淮南市,32.6255,117.0186,3,original
HGZ-197,-197,太子之位确立，吕后势力上升,长安,陕西省西安市,34.3416,108.9398,1,original
HGZ-196a,-196,韩信谋反被杀,长安,陕西省西安市,34.3416,108.9398,1,original
HGZ-196b,-196,陈豨起兵反汉，刘邦亲征,代地,河北省蔚县,39.8377,114.573,4,original
HGZ-195a,-195,刘邦病重，回长乐宫,长安,陕西省西安市,34.3416,108.9398,1,original
HGZ-195b,-195,刘邦驾崩，葬于长陵,长安,陕西省西安市,34.3888,108.83340000000001,1,original
