main_cluster,sub_cluster,event_count,year_range,locations,events
1,1,3,-210 ~ -209,"泗水, 沛, 丰",任泗水亭长，放走刑徒，潜逃芒砀山...; 陈胜吴广起义后，沛县反秦，推刘邦为沛公...; 攻克丰邑、薛城，收纳人众...
1,2,1,-208 ~ -208,砀郡,攻下砀郡、下邑，势力扩大...
1,3,1,-205 ~ -205,彭城,彭城之战，大败于项羽...
2,1,4,-197 ~ -195,长安,太子之位确立，吕后势力上升...; 韩信谋反被杀...; 刘邦病重，回长乐宫...; 刘邦驾崩，葬于长陵...
2,2,4,-207 ~ -201,"咸阳, 鸿门, 长安",刘邦先入咸阳，秦王子婴投降...; 鸿门宴与项羽会盟，刘邦退居汉中...; 刘邦称帝，建汉，定都长安...; 削异姓王，封同姓王...
2,3,1,-206 ~ -206,南郑,封为汉王，入汉中...
3,1,4,-205 ~ -203,"荥阳, 邯郸, 成皋, 河南",楚汉对峙，刘邦退守荥阳，张良、陈平献策...; 韩信袭赵，刘邦与项羽相持...; 刘邦为项羽所败，逃至成皋，太公、吕后被俘...; 刘邦背约，再战项羽，韩信、彭越夹击楚...
3,2,1,-206 ~ -206,武关,出武关，击楚军，占洛阳、成皋...
3,3,1,-207 ~ -207,巨鹿,巨鹿之战，项羽击破秦军，刘邦进军关中...
4,1,3,-202 ~ -198,"垓下, 长安, 淮南",垓下之战，项羽自刎乌江...; 陈平分化楚王韩信、英布...; 英布起兵反汉，被平定...
5,1,1,-200 ~ -200,平城,匈奴冒顿围刘邦于平城（白登之围）...
5,2,1,-196 ~ -196,代地,陈豨起兵反汉，刘邦亲征...
